id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_drive_s_h,p_bias,p_output_db,p_hpf_freq,p_hpf_reso,p_hat_drive_s_h,p_hat_bias,p_hat_output_db,p_hat_hpf_freq,p_hat_hpf_reso
22,audio_22.wav,0.575997531414032,0.4477725923061371,0.7459790706634521,0.22536787390708923,0.16998153924942017,-0.22240471839904785,0.08312756,0.6414703,0.885133,0.6888583,0.8588281,0.18063506,0.76365304,0.42596975,0.7418479,0.68287516
23,audio_23.wav,0.575997531414032,0.4477725923061371,0.748332142829895,0.22203640639781952,0.17233461141586304,-0.22573618590831757,0.6695898,0.630734,0.84097385,0.89263314,0.7133186,0.1875829,0.7758933,0.4534995,0.7322533,0.5927855
24,audio_24.wav,0.575997531414032,0.4477725923061371,0.7105593085289001,0.227389395236969,0.13456177711486816,-0.2203831970691681,0.3633886,0.3442756,0.8489068,0.43082738,0.5876596,0.21719941,0.77246267,0.48697895,0.46611446,0.24291368
25,audio_25.wav,0.575997531414032,0.4477725923061371,0.7026278972625732,0.23123493790626526,0.12663036584854126,-0.21653765439987183,0.34435797,0.036609292,0.66385984,0.35683626,0.37334162,0.20901681,0.7771811,0.48173806,0.43432263,0.21084118
26,audio_26.wav,0.575997531414032,0.4477725923061371,0.619367778301239,0.3511573076248169,0.04337024688720703,-0.09661528468132019,0.17107624,0.6425613,0.65291417,0.17478609,0.29329258,0.24274448,0.6977086,0.46020117,0.13243495,0.077049255
27,audio_27.wav,0.575997531414032,0.4477725923061371,0.6450726389884949,0.31673264503479004,0.06907510757446289,-0.13103994727134705,0.65070385,0.051415026,0.4260701,0.17861813,0.33561772,0.23820916,0.72207564,0.46686187,0.19729556,0.10046714
28,audio_28.wav,0.575997531414032,0.4477725923061371,0.7467635869979858,0.22588542103767395,0.17076605558395386,-0.22188717126846313,0.56963575,0.11185485,0.3698392,0.76289654,0.62185705,0.17944309,0.7687003,0.43256274,0.74896836,0.6663721
29,audio_29.wav,0.575997531414032,0.4477725923061371,0.6266674399375916,0.3634796440601349,0.05066990852355957,-0.0842929482460022,0.41912383,0.65354884,0.37653112,0.023454666,0.038981855,0.18836308,0.7299907,0.44998685,0.11637498,0.061740343
30,audio_30.wav,0.575997531414032,0.4477725923061371,0.7467636466026306,0.22585409879684448,0.17076611518859863,-0.2219184935092926,0.29917097,0.9876192,0.9894183,0.77211875,0.7695491,0.17998923,0.7680975,0.43070173,0.7499429,0.67163575
31,audio_31.wav,0.575997531414032,0.4477725923061371,0.6754767894744873,0.2920703589916229,0.09947925806045532,-0.15570223331451416,0.84656197,0.25530702,0.5102187,0.26595026,0.8716534,0.20378743,0.7680682,0.46699193,0.2959823,0.12747666
