,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_drive_s_h,p_bias,p_output_db,p_hpf_freq,p_hpf_reso,p_hat_drive_s_h,p_hat_bias,p_hat_output_db,p_hat_hpf_freq,p_hat_hpf_reso,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
520,520,audio_520.wav,0.575997531414032,0.4477725923061371,0.7183541059494019,0.2281503230333328,0.1423565745353698,-0.2196222692728042,0.5913092,0.24312925,0.8362538,0.47145057,0.04080212,0.18460473,0.79392153,0.47241813,0.5136678,0.26013276,-1,6.988787,9.506935,#b1ef7f,3.494868,-3.6572468,#67307f,4.823488,13.8461685,#6dbf7f,8.184929,14.160573,#9fd77f,6.089898,13.094086,#a3d87f
521,521,audio_521.wav,0.575997531414032,0.4477725923061371,0.6311443448066711,0.283782809972763,0.0551468133926391,-0.163989782333374,0.19227219,0.051360726,0.96823925,0.15825742,0.536065,0.26386803,0.6957081,0.47017318,0.16918115,0.09757255,-1,2.3133817,7.159696,#42857f,6.292442,0.05937926,#b8b97f,3.7242587,9.443975,#443c7f,4.781446,10.862579,#43517f,2.4450114,9.995253,#455a7f
522,522,audio_522.wav,0.575997531414032,0.4477725923061371,0.6783397197723389,0.289543479681015,0.1023421883583068,-0.158229112625122,0.8862452,0.19489431,0.23959571,0.24087685,0.6092716,0.19369017,0.7781748,0.46496734,0.31046847,0.12807716,-1,2.8873923,6.1716204,#50587f,5.5263476,0.6518284,#a2cf7f,4.7257137,9.142581,#69337f,5.5094194,10.196987,#57367f,3.1375663,9.2875395,#573d7f
523,523,audio_523.wav,0.575997531414032,0.4477725923061371,0.653856098651886,0.3196229338645935,0.077858567237854,-0.1281496584415435,0.38204366,0.8910876,0.7400512,0.21623737,0.07599604,0.18975496,0.7582605,0.4541118,0.20486799,0.09035124,-1,3.4647005,9.603954,#5df47f,6.4039207,-2.4971697,#bb5a7f,2.8034854,12.216349,#218e7f,5.227331,13.520832,#4fbd7f,3.226915,12.580536,#59c37f
524,524,audio_524.wav,0.575997531414032,0.4477725923061371,0.7168849110603333,0.2310596704483032,0.1408873796463012,-0.2167129218578338,0.06032157,0.25705218,0.93401885,0.9658833,0.4993915,0.165106,0.8037358,0.46130997,0.5110865,0.24637583,-1,6.4101543,5.1935883,#a32c7f,1.8078467,0.051474757,#37b87f,7.8723845,11.046959,#df6b7f,9.247922,10.1684065,#bc347f,7.006284,9.146644,#ba377f
525,525,audio_525.wav,0.575997531414032,0.4477725923061371,0.7242222428321838,0.225159540772438,0.1482247114181518,-0.222613051533699,0.49787033,0.97082716,0.37202537,0.48707497,0.7117525,0.17975272,0.7896928,0.46889722,0.53873706,0.30324638,-1,6.342242,8.816727,#a2d07f,3.4189394,-2.776513,#65507f,5.3159704,13.119951,#7fa97f,8.142008,13.329091,#9eb57f,5.9923387,12.286334,#a0b77f
526,526,audio_526.wav,0.575997531414032,0.4477725923061371,0.602435290813446,0.3962850868701935,0.026437759399414,-0.0514875054359436,0.38507068,0.026111543,0.12146157,0.028696299,0.82679456,0.22447184,0.69455296,0.45854792,0.08513187,0.054672692,-1,-0.4761215,6.6508408,#006e7f,8.662689,1.8538827,#fcfb7f,2.1173487,7.5320215,#08037f,2.346794,10.858179,#01517f,-0.15397787,8.669502,#02247f
527,527,audio_527.wav,0.575997531414032,0.4477725923061371,0.7018498182296753,0.2305119037628173,0.1258522868156433,-0.2172606885433197,0.7331446,0.31408882,0.023633182,0.3830309,0.75220245,0.22046265,0.7674168,0.48655188,0.42651376,0.21460512,-1,5.0085974,8.510551,#82c27f,4.551377,-2.0621228,#866a7f,4.583182,12.033569,#64897f,6.936511,12.769505,#7d9e7f,4.752323,11.583762,#809a7f
528,528,audio_528.wav,0.575997531414032,0.4477725923061371,0.7439701557159424,0.1552105396986007,0.1679726243019104,-0.2925620526075363,0.7041404,0.6986605,0.32386297,0.5834066,0.65213424,0.17713922,0.78199995,0.459359,0.65499526,0.45825416,-1,6.7613354,8.360689,#abbb7f,2.940959,-2.5533977,#57587f,5.8120713,13.129707,#92aa7f,8.447931,13.063734,#a6aa7f,6.3665504,12.035368,#aaad7f
529,529,audio_529.wav,0.575997531414032,0.4477725923061371,0.7434259057044983,0.1556885093450546,0.1674283742904663,-0.2920840829610824,0.23161745,0.89932704,0.9360024,0.56358784,0.52933073,0.16413675,0.7858103,0.44921464,0.653101,0.45641756,-1,7.790296,8.504434,#c4c27f,2.528019,-3.073047,#4c457f,5.8745484,13.761404,#94bc7f,8.949528,13.332647,#b4b57f,7.031041,12.3052435,#bbb87f
