id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_l_delay_ms,p_r_delay,p_feedback,p_fb_tone_lo_hi,p_fb_mix,p_hat_l_delay_ms,p_hat_r_delay,p_hat_feedback,p_hat_fb_tone_lo_hi,p_hat_fb_mix
302,audio_302.wav,0.575997531414032,0.4477725923061371,0.5760188698768616,0.4505356252193451,2.1338462829589844e-05,0.002763032913208008,0.14549059,0.57353896,0.6172794,0.40415996,0.7023732,0.782124,0.53771424,0.7750581,0.3927393,0.015121558
303,audio_303.wav,0.575997531414032,0.4477725923061371,0.5759883522987366,0.4461948871612549,-9.179115295410156e-06,-0.0015777051448822021,0.53554875,0.48413652,0.43153566,0.4868241,0.07493138,0.86459726,0.8596687,0.88865346,0.5686811,0.04197651
304,audio_304.wav,0.575997531414032,0.4477725923061371,0.5759609937667847,0.44866040349006653,-3.653764724731445e-05,0.0008878111839294434,0.33732647,0.4351586,0.26631433,0.36629158,0.92615026,0.6770844,0.36382565,0.66501975,0.34878218,0.023258211
305,audio_305.wav,0.575997531414032,0.4477725923061371,0.5760895013809204,0.45035645365715027,9.196996688842773e-05,0.0025838613510131836,0.84463197,0.8965618,0.98318684,0.53566635,0.7911011,0.8734463,0.91335005,0.909137,0.6375633,0.077317394
306,audio_306.wav,0.575997531414032,0.4477725923061371,0.5760261416435242,0.4484776556491852,2.86102294921875e-05,0.0007050633430480957,0.7770355,0.4579109,0.19002241,0.49291897,0.28482032,0.71130663,0.40638787,0.7016159,0.35643682,0.018016556
307,audio_307.wav,0.575997531414032,0.4477725923061371,0.5759555697441101,0.4466804563999176,-4.1961669921875e-05,-0.0010921359062194824,0.9053031,0.18058884,0.31259996,0.05204147,0.56298465,0.8621031,0.8508878,0.8848509,0.5602421,0.039313793
308,audio_308.wav,0.575997531414032,0.4477725923061371,0.5759356617927551,0.44950854778289795,-6.186962127685547e-05,0.0017359554767608643,0.35456753,0.049219787,0.19911116,0.14371294,0.45581013,0.8421946,0.76488984,0.8559245,0.4944088,0.024676025
309,audio_309.wav,0.575997531414032,0.4477725923061371,0.5760259628295898,0.4483359158039093,2.8431415557861328e-05,0.0005633234977722168,0.86847687,0.012695193,0.336536,0.9359639,0.6755125,0.6827428,0.3698497,0.67076784,0.34938115,0.021849025
310,audio_310.wav,0.575997531414032,0.4477725923061371,0.576008141040802,0.4483559727668762,1.0609626770019531e-05,0.0005833804607391357,0.2649814,0.5606159,0.03400874,0.2148633,0.07656646,0.76806545,0.5105725,0.761944,0.38372102,0.015020249
311,audio_311.wav,0.575997531414032,0.4477725923061371,0.5761407613754272,0.45065468549728394,0.00014322996139526367,0.0028820931911468506,0.98150766,0.16858983,0.95458066,0.9795821,0.38057047,0.87492037,0.9108248,0.9093037,0.6322821,0.072290584
