,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_freq_hz,p_fine_hz,p_feedback,p_hat_freq_hz,p_hat_fine_hz,p_hat_feedback,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
585,585,audio_585.wav,0.6104051470756531,0.4509032666683197,0.8690953850746155,0.0590100325644016,0.2586902379989624,-0.3918932341039181,0.7093419,0.21882844,0.3084699,0.669212,0.6450631,0.5874358,-1,11.189608,13.35413,#f6e57f,7.5306253,14.582396,#c4eb7f,8.715975,11.773269,#c4f27f,9.611359,13.378118,#d8e37f,10.466896,15.146304,#e7e77f
586,586,audio_586.wav,0.6104051470756531,0.4509032666683197,0.8005943298339844,0.3373945653438568,0.1901891827583313,-0.1135087013244628,0.2848304,0.11103952,0.6874079,0.2691304,0.3728847,0.86817133,-1,-0.49425218,-2.1626825,#411d7f,1.1906997,-2.876666,#5e087f,1.8561091,-1.6811577,#6a1c7f,1.8570532,-1.2725333,#6c0c7f,2.1288154,-1.3868699,#65087f
587,587,audio_587.wav,0.6104051470756531,0.4509032666683197,0.8340185284614563,0.3302117884159088,0.2236133813858032,-0.1206914782524108,0.30518484,0.22637552,0.6935757,0.41297778,0.5201288,0.79448575,-1,0.23191728,-2.826662,#4c147f,1.8965111,-3.2261496,#69047f,2.655891,-2.1072645,#75157f,2.670289,-1.5305924,#78087f,2.895773,-1.6143516,#71057f
588,588,audio_588.wav,0.6104051470756531,0.4509032666683197,0.8236419558525085,0.334646999835968,0.2132368087768554,-0.1162562668323516,0.3043828,0.47799093,0.4123785,0.37369663,0.47970405,0.8225793,-1,0.38359305,-2.9683545,#4f127f,2.2228851,-3.3567195,#6f027f,2.8173103,-2.180456,#77147f,2.926876,-1.5717081,#7b077f,3.07266,-1.63849,#74057f
589,589,audio_589.wav,0.6104051470756531,0.4509032666683197,0.796601414680481,0.3351215124130249,0.1861962676048278,-0.1157817542552948,0.23695648,0.6252755,0.9978283,0.25878307,0.36084148,0.87008375,-1,-2.9283447,0.79499584,#1b437f,-1.5195677,-0.7344018,#33247f,-1.2128303,0.71741104,#42427f,-0.99612796,0.25557798,#45227f,-0.39397976,0.8073572,#3e267f
590,590,audio_590.wav,0.6104051470756531,0.4509032666683197,0.8303110003471375,0.33330237865448,0.2199058532714843,-0.1176008880138397,0.3008721,0.49458998,0.42263508,0.4002779,0.5088851,0.8051885,-1,0.18602397,-2.7689233,#4b157f,1.7687387,-3.1386423,#67057f,2.4911916,-2.0049138,#73177f,2.4679422,-1.4332091,#75097f,2.787257,-1.567134,#6f067f
591,591,audio_591.wav,0.6104051470756531,0.4509032666683197,0.8690340518951416,0.0591399930417537,0.2586289048194885,-0.3917632736265659,0.6881479,0.34551692,0.38239098,0.6696029,0.64523125,0.58723897,-1,10.90107,12.605642,#f2dc7f,8.029611,13.949826,#cce37f,9.274521,11.2919235,#cbea7f,9.9614315,12.709627,#ddd97f,10.463712,14.387883,#e7dc7f
592,592,audio_592.wav,0.6104051470756531,0.4509032666683197,0.7941120266914368,0.3363057374954223,0.1837068796157837,-0.1145975291728973,0.0022029877,0.782039,0.78979874,0.25178346,0.3542215,0.87021625,-1,-4.046776,13.616466,#0ae97f,-4.5048304,9.818894,#03ad7f,-6.215232,11.636727,#01f07f,-5.7796726,11.788229,#03cb7f,-4.281352,11.462784,#01b57f
593,593,audio_593.wav,0.6104051470756531,0.4509032666683197,0.7966071963310242,0.335059106349945,0.1862020492553711,-0.1158441603183746,0.10211283,0.65008223,0.47719306,0.2568208,0.36190608,0.8697025,-1,-4.3686757,9.733014,#05b67f,-3.3197434,6.591768,#16837f,-5.5937285,8.315566,#09bb7f,-5.2215056,8.266602,#0a987f,-3.6935053,8.205383,#0a897f
594,594,audio_594.wav,0.6104051470756531,0.4509032666683197,0.8690913319587708,0.0616587549448013,0.2586861848831177,-0.3892445117235183,0.85110605,0.66782594,0.9558135,0.66705835,0.64604414,0.5873339,-1,10.104549,7.9873405,#e5a07f,9.465009,9.70314,#e3ac7f,12.093421,7.956543,#f0b57f,10.909507,9.024898,#eaa37f,10.66622,10.156271,#eaa37f
