,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_drive,p_muffle,p_output_db,p_hat_drive,p_hat_muffle,p_hat_output_db,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
527,527,audio_527.wav,0.6104051470756531,0.4509032666683197,0.5086669921875,0.5718318819999695,-0.101738154888153,0.1209286153316497,0.41390592,0.49723768,0.27776843,0.70123297,0.4870528,0.44013867,-1,1.707502,12.776295,#869b7f,0.9885677,16.31884,#83947f,6.7730713,14.79846,#7faa7f,7.818584,19.267782,#79a67f,5.2986207,17.782248,#7eab7f
528,528,audio_528.wav,0.6104051470756531,0.4509032666683197,0.4618308246135711,0.6200379133224487,-0.1485743224620819,0.169134646654129,0.48194945,0.8680822,0.9823494,0.7636029,0.7371411,0.5223008,-1,4.6228023,13.235623,#e9b17f,3.8479836,16.698662,#e5a87f,9.678767,13.848848,#e0667f,5.475711,19.098886,#2a9c7f,8.550572,17.469833,#ed997f
529,529,audio_529.wav,0.6104051470756531,0.4509032666683197,0.4598204791545868,0.6221403479576111,-0.1505846679210662,0.1712370812892913,0.49974734,0.75617695,0.22206503,0.750148,0.75225425,0.5175149,-1,3.389145,14.669809,#bff67f,3.1810098,17.854452,#cee57f,9.377516,15.347876,#d6d27f,5.789409,20.13872,#34da7f,7.524674,18.574493,#cad77f
530,530,audio_530.wav,0.6104051470756531,0.4509032666683197,0.4886478185653686,0.5874131321907043,-0.1217573285102844,0.1365098655223846,0.7037342,0.6716958,0.96381146,0.7414696,0.59013337,0.47354248,-1,2.169881,14.298385,#96e47f,1.5215323,18.046047,#95f07f,8.265425,15.974517,#b1ff7f,7.0276513,20.560673,#5ef47f,5.8799586,19.005049,#92ef7f
531,531,audio_531.wav,0.6104051470756531,0.4509032666683197,0.4503710269927978,0.6264581680297852,-0.1600341200828552,0.1755549013614654,0.8798102,0.9725071,0.06296867,0.7542551,0.8130915,0.5436106,-1,5.0233207,14.447447,#f7eb7f,4.4219103,17.684643,#f8dc7f,10.436614,14.681035,#f9a27f,4.3882027,19.579119,#05b97f,8.7798395,18.451233,#f5d07f
532,532,audio_532.wav,0.6104051470756531,0.4509032666683197,0.4548294842243194,0.6183835864067078,-0.1555756628513336,0.167480319738388,0.8011327,0.78598446,0.5856564,0.74731135,0.78362113,0.52639484,-1,4.6649795,12.931199,#eba37f,3.8085318,16.407778,#e4987f,9.219869,13.873211,#d1687f,5.4096203,18.768929,#27887f,7.906654,17.541473,#d79d7f
533,533,audio_533.wav,0.6104051470756531,0.4509032666683197,0.4600768983364105,0.621864378452301,-0.1503282487392425,0.1709611117839813,0.46788228,0.8287163,0.16576743,0.74960905,0.7506829,0.51508695,-1,4.062968,13.802037,#d6cc7f,3.293037,17.095837,#d2bd7f,9.706307,14.815489,#e1ac7f,5.936125,19.951744,#39cf7f,7.86367,18.212194,#d5c37f
534,534,audio_534.wav,0.6104051470756531,0.4509032666683197,0.4565696716308594,0.6162164211273193,-0.1538354754447937,0.1653131544589996,0.25783592,0.85730344,0.05025041,0.7273676,0.77255946,0.5094583,-1,4.079162,13.359043,#d7b77f,3.460168,16.839632,#d8af7f,9.658221,13.695217,#df5c7f,5.330648,19.834204,#25c87f,7.9634004,18.132235,#d9be7f
535,535,audio_535.wav,0.6104051470756531,0.4509032666683197,0.498081624507904,0.5775312781333923,-0.112323522567749,0.1266280114650726,0.65607685,0.6485006,0.9403842,0.72995615,0.54259497,0.45882773,-1,2.0507789,12.881153,#92a07f,1.5590476,16.911472,#97b37f,7.805169,14.654774,#a2a07f,7.4091406,19.364647,#6bac7f,6.0991793,17.874445,#99b07f
536,536,audio_536.wav,0.6104051470756531,0.4509032666683197,0.4552311599254608,0.6180403232574463,-0.1551739871501922,0.1671370565891266,0.42374587,0.8677944,0.34519035,0.7648019,0.7769478,0.5356127,-1,4.5709767,13.39822,#e7b97f,4.073048,16.683014,#eda77f,9.389122,14.239875,#d6827f,5.152269,19.086334,#1f9b7f,7.955667,17.695347,#d8a67f
537,537,audio_537.wav,0.6104051470756531,0.4509032666683197,0.4538404643535614,0.6193881630897522,-0.1565646827220916,0.1684848964214325,0.31035668,0.892303,0.7264765,0.758077,0.789582,0.53406036,-1,4.9097505,13.447695,#f3bb7f,3.9913101,16.500248,#ea9d7f,9.8649025,13.64756,#e6587f,4.8055105,19.132439,#139e7f,8.6662655,17.431255,#f1977f
538,538,audio_538.wav,0.6104051470756531,0.4509032666683197,0.452318400144577,0.6243947744369507,-0.158086746931076,0.1734915077686309,0.9033777,0.95415545,0.26489735,0.76187253,0.79687023,0.5413315,-1,4.4425273,13.782115,#e3cb7f,4.2170277,17.728079,#f1df7f,10.329031,14.628801,#f69e7f,4.518593,20.22255,#09df7f,8.90648,18.6657,#f9dc7f
539,539,audio_539.wav,0.6104051470756531,0.4509032666683197,0.4502379298210144,0.6266307234764099,-0.1601672172546386,0.1757274568080902,0.57235986,0.9664548,0.6235455,0.7612332,0.8139743,0.54997194,-1,4.617805,14.857958,#e9ff7f,4.382901,17.80886,#f7e37f,10.419901,14.802999,#f9ab7f,4.4601398,20.176195,#07dd7f,8.961181,18.686554,#fbdd7f
540,540,audio_540.wav,0.6104051470756531,0.4509032666683197,0.5204331278800964,0.5611525774002075,-0.0899720191955566,0.1102493107318878,0.13665223,0.26223725,0.089258075,0.61836624,0.4333563,0.41887376,-1,0.89641154,10.848464,#6b3f7f,0.2844693,14.530653,#6b347f,5.4408574,13.360685,#53447f,8.956574,17.392351,#a0367f,4.5257835,15.840576,#633f7f
541,541,audio_541.wav,0.6104051470756531,0.4509032666683197,0.4508000910282135,0.6258758902549744,-0.1596050560474395,0.1749726235866546,0.17155349,0.9375259,0.75318396,0.7433977,0.81021947,0.53548664,-1,4.6960077,12.945737,#eca37f,3.8382485,16.437014,#e59a7f,9.386084,13.842404,#d6667f,5.1971,18.641157,#20817f,8.171041,17.620752,#e0a27f
542,542,audio_542.wav,0.6104051470756531,0.4509032666683197,0.4679667949676513,0.6122559905052185,-0.1424383521080017,0.1613527238368988,0.40190518,0.8316953,0.5648296,0.74849045,0.7038728,0.5011453,-1,5.0218863,13.699257,#f7c77f,4.423464,16.730484,#f9a97f,10.227315,13.737115,#f25e7f,4.8846064,18.962824,#15947f,8.701959,17.602587,#f2a17f
543,543,audio_543.wav,0.6104051470756531,0.4509032666683197,0.5517720580101013,0.5389456748962402,-0.0586330890655517,0.0880424082279205,0.9886307,0.11013293,0.29043818,0.4346378,0.29049736,0.42488188,-1,-1.881168,11.066863,#0d4a7f,-2.4298236,15.85432,#0f7b7f,3.6528208,14.917387,#18b37f,11.124867,18.948671,#e9937f,2.4168246,16.519484,#1b657f
544,544,audio_544.wav,0.6104051470756531,0.4509032666683197,0.4925092756748199,0.5830903053283691,-0.1178958714008331,0.1321870386600494,0.6661433,0.6778729,0.19557828,0.73609513,0.5687941,0.46512306,-1,2.3157737,13.686316,#9bc77f,2.2334032,17.698353,#aedd7f,8.167716,15.347899,#aed27f,6.799798,20.203749,#56de7f,6.6221986,18.704845,#abde7f
545,545,audio_545.wav,0.6104051470756531,0.4509032666683197,0.4918962121009826,0.5836126804351807,-0.1185089349746704,0.1327094137668609,0.4271586,0.65085113,0.18342423,0.7314996,0.5741518,0.46368676,-1,2.3391502,12.660752,#9c967f,1.9115505,16.512245,#a39e7f,7.7198257,14.76784,#9fa87f,7.053979,19.006943,#5f967f,6.2500625,17.76158,#9eaa7f
546,546,audio_546.wav,0.6104051470756531,0.4509032666683197,0.5289221405982971,0.5551491379737854,-0.0814830064773559,0.1042458713054657,0.7314059,0.3233567,0.14549059,0.6403068,0.39404845,0.413585,-1,-0.1278125,12.703497,#48987f,-0.657067,16.672934,#4ba67f,5.317508,15.618095,#4fe57f,9.291389,19.803516,#abc67f,3.793463,17.990767,#4ab67f
547,547,audio_547.wav,0.6104051470756531,0.4509032666683197,0.4714640378952026,0.6063699126243591,-0.1389411091804504,0.1554666459560394,0.57353896,0.6172794,0.40415996,0.74117273,0.6839452,0.49318445,-1,2.0246043,14.069896,#91d97f,1.605836,17.90777,#98e87f,8.009078,15.551738,#a9e07f,6.9344316,19.691607,#5bc07f,6.405593,18.93401,#a3eb7f
548,548,audio_548.wav,0.6104051470756531,0.4509032666683197,0.4985964894294739,0.5770812630653381,-0.1118086576461792,0.1261779963970184,0.7023732,0.53554875,0.48413652,0.73199993,0.53777575,0.4593607,-1,2.5928082,13.292284,#a4b47f,1.9916108,17.058954,#a6bb7f,8.376727,15.631,#b5e67f,6.8622775,19.95976,#59d07f,6.573077,18.353727,#a9ca7f
549,549,audio_549.wav,0.6104051470756531,0.4509032666683197,0.5117736458778381,0.5676463842391968,-0.0986315011978149,0.116743117570877,0.43153566,0.4868241,0.07493138,0.69501793,0.47491178,0.43647596,-1,1.1227146,12.636261,#73957f,0.93819827,16.452757,#829b7f,6.736916,14.9246855,#7eb37f,7.9368553,19.234627,#7da47f,5.160545,17.722837,#79a87f
