id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_l_m_hz,p_m_h_hz,p_l_comp_db,p_m_comp_db,p_h_comp_db,p_l_out_db,p_m_out_db,p_h_out_db,p_attack_s,p_release_ms,p_stereo_width,p_hat_l_m_hz,p_hat_m_h_hz,p_hat_l_comp_db,p_hat_m_comp_db,p_hat_h_comp_db,p_hat_l_out_db,p_hat_m_out_db,p_hat_h_out_db,p_hat_attack_s,p_hat_release_ms,p_hat_stereo_width
10,audio_10.wav,0.5813199877738953,0.3321695923805237,0.5185999870300293,0.4297022521495819,-0.06272000074386597,0.09753265976905823,0.39994705,0.4057355,0.46206582,0.6158088,0.72508466,0.9752462,0.63314235,0.44701022,0.3883732,0.77395064,0.9571828,0.5019475,0.28482932,0.64308786,0.44719866,0.403397,0.5195379,0.3510741,0.47369415,0.44507354,0.380786,0.22279346
11,audio_11.wav,0.5813199877738953,0.3321695923805237,0.6053214073181152,0.3082825243473053,0.02400141954421997,-0.023887068033218384,0.79502624,0.43675327,0.028798103,0.57836616,0.03496927,0.43375617,0.35447258,0.85537314,0.49179292,0.12495321,0.13670778,0.6950762,0.22635438,0.29438013,0.2962488,0.59669137,0.31213695,0.4801804,0.5231158,0.4097283,0.48840433,0.12273228
12,audio_12.wav,0.5813199877738953,0.3321695923805237,0.588070809841156,0.31614741683006287,0.006750822067260742,-0.016022175550460815,0.044686913,0.3477673,0.3541388,0.3792981,0.46960562,0.11918342,0.13446349,0.3080135,0.3176152,0.44043177,0.9911296,0.69496936,0.25342083,0.39926934,0.33283925,0.4833407,0.3809936,0.4974221,0.45301113,0.45769557,0.46230045,0.14823422
13,audio_13.wav,0.5813199877738953,0.3321695923805237,0.5944987535476685,0.30689528584480286,0.013178765773773193,-0.025274306535720825,0.5240569,0.5491315,0.32939595,0.26885992,0.362095,0.038765073,0.35286194,0.6381587,0.85518765,0.5963616,0.10238296,0.7280232,0.22537066,0.25862858,0.2945614,0.5729021,0.27221832,0.49280503,0.48051038,0.4069819,0.46286213,0.13476937
14,audio_14.wav,0.5813199877738953,0.3321695923805237,0.48086586594581604,0.41079404950141907,-0.10045412182807922,0.07862445712089539,0.80731046,0.4434198,0.9744914,0.7960893,0.9543556,0.7631567,0.0080705285,0.38812113,0.18455702,0.2435624,0.6358466,0.6251702,0.36336368,0.73690647,0.4391157,0.24298872,0.44161162,0.20453414,0.26144308,0.5531003,0.2285238,0.25446475
15,audio_15.wav,0.5813199877738953,0.3321695923805237,0.6033447980880737,0.3051198422908783,0.022024810314178467,-0.027049750089645386,0.7858862,0.27744812,0.2611519,0.47248977,0.9092193,0.10768974,0.64294493,0.85040045,0.5157385,0.82351017,0.32300586,0.729248,0.22492422,0.22976756,0.28678027,0.6024943,0.25147173,0.4872016,0.49867427,0.39365324,0.46656016,0.1360897
16,audio_16.wav,0.5813199877738953,0.3321695923805237,0.6353060603141785,0.3228265345096588,0.0539860725402832,-0.009343057870864868,0.66595906,0.8026998,0.01702249,0.22465134,0.41688442,0.22041243,0.031981647,0.7104632,0.02154845,0.33585286,0.8552172,0.5738664,0.2534027,0.41485128,0.3078305,0.6650883,0.43667772,0.43592167,0.65177876,0.40656888,0.52432597,0.115385
17,audio_17.wav,0.5813199877738953,0.3321695923805237,0.6429639458656311,0.3085433542728424,0.06164395809173584,-0.023626238107681274,0.020477355,0.92871994,0.87058705,0.037505627,0.8938645,0.10325509,0.06851292,0.70755476,0.67965615,0.16452575,0.906017,0.6094105,0.2367393,0.34196037,0.28066048,0.6957992,0.37443286,0.42933866,0.6621288,0.3873201,0.51513153,0.10785175
18,audio_18.wav,0.5813199877738953,0.3321695923805237,0.5642005801200867,0.3700862526893616,-0.017119407653808594,0.03791666030883789,0.7440124,0.4976126,0.03302604,0.6489194,0.27188998,0.92000896,0.6462141,0.6280997,0.6591372,0.24144018,0.97846526,0.65432054,0.28080297,0.5266399,0.38807356,0.40640035,0.4681749,0.48370102,0.44491094,0.49174413,0.44212988,0.19216771
19,audio_19.wav,0.5813199877738953,0.3321695923805237,0.4730900526046753,0.4191114008426666,-0.10822993516921997,0.08694180846214294,0.7153386,0.37685442,0.81807375,0.6421392,0.3958574,0.38621604,0.04018569,0.17627072,0.15792507,0.27326125,0.0669896,0.5690689,0.36811805,0.7721471,0.45253965,0.24466695,0.44215757,0.1470993,0.24562751,0.547097,0.21231066,0.25901943
